node_1|node_2|edge
india|health indicators|India's health indicators have improved in recent times but continue to lag behind those of its peer nations.
india|population|The country with a population of 1.3 billion
india|health workers density|has an estimated active health workers density of doctors and nurses/midwives of 5.0 and 6.0 respectively, for 10,000 persons
india|who threshold|which is much lower than the WHO threshold of 44.5 doctors, nurses, and midwives per 10,000 population
india|skewed inter-state, urban-rural, and public-private sector divide|The issue is compounded by the skewed inter-state, urban-rural, and public-private sector divide.
health workforce|human resources|Calls to urgently augment the skilled health workforce reinforce the central role human resources have in healthcare
india|skilled personnel|The paucity of skilled personnel must be addressed if India is to accelerate its progress toward achieving universal health coverage and its sustainable development goals (SDGs).
federal health budget|opportunity|The recent increase in the federal health budget offers an unprecedented opportunity to do this.
authors' experiential learning|health system in india|This article utilizes the ready materials, extract and analyze data, distill findings (READ) approach to adding to the authors' experiential learning to analyze the health system in India.
public-private sector systems|medical tourism industry|The growing divide between the public and the burgeoning private health sector systems, with the latter's booming medical tourism industry
private health sector systems|medical tourism industry|The burgeoning private health sector systems are analyzed along with the booming medical tourism industry.
private health sector systems|medical schools|The burgeoning private health sector systems are analyzed along with the burgeoning number of medical schools.
private health sector systems|national medical council|The burgeoning private health sector systems are analyzed along with the newly created National Medical Council.
medical tourism industry|medical schools|The booming medical tourism industry is analyzed along with the burgeoning number of medical schools.
medical tourism industry|national medical council|The booming medical tourism industry is analyzed along with the newly created National Medical Council.
medical schools|national medical council|The burgeoning number of medical schools is analyzed along with the newly created National Medical Council.
public and private sectors|growing divide|The authors describe the growing divide between the public and private sectors.
public and private sectors|divergent strategies|The authors describe the divergent strategies of the public and private sectors.
public and private sectors|medical tourism industry|The authors describe the booming medical tourism industry in the private sector.
public and private sectors|burgeoning number of medical schools|The authors describe the burgeoning number of medical schools in the private sector.
public and private sectors|national medical council|The authors describe the opportunities available within the newly created National Medical Council.
public and private sectors|increase in the federal health budget|The authors describe the recent increase in the federal health budget.
paucity of quality health personnel|transparent governance|The recommendations made to address the paucity of quality health personnel include the creation of transparent governance.
paucity of quality health personnel|strengthening the health infrastructure|The recommendations made to address the paucity of quality health personnel include strengthening the health infrastructure.
paucity of quality health personnel|upskilling the existing workforce|The recommendations made to address the paucity of quality health personnel include upskilling the existing workforce.
paucity of quality health personnel|partnerships with the much larger private sector|The recommendations made to address the paucity of quality health personnel include creating partnerships with the much larger private sector.
methodology used|read approach|The methodology used is the READ approach, which is a systematic approach for document analysis in health policy research.
materials|data|extracting the data
data|analyzing|analyzing it to distill the findings
literature search|articles|56 articles published in peer-reviewed journals between 2005 and 2021 were selected and analyzed
authors' experiential knowledge|foundation|the corresponding authors' experiential knowledge served as the foundation for the analysis
government-funded health sector|provider|the government-funded health sector, which is the provider of healthcare to vulnerable populations
government-funded health sector|underfunded|the government-funded health sector has been chronically underfunded with 1.28% of the GDP
government-funded health sector|healthcare expenditure|this translates to a healthcare expenditure of $2.7 per citizen per year
india|public hospital beds|India has 0.7 public hospital beds per 100,000 people
india|physicians|India has 0.576 physicians per 1,000 population in 2000
world health organization|doctor-to-population ratio|compared to the World Health Organization's recommended doctor-to-population ratio of 1:1,000
national health mission|services provided|since the inception of the National Health Mission (NHM) in 2005, the government has aimed to increase the quantum of services provided
national health mission|lack of focus|a lack of focus on quality has failed to make a dent in healthcare indicators
population|health insurance coverage|at best, 37% of the population had any health insurance coverage in 2018
private health sector|provider|the for-profit private health sector becoming the dominant provider of healthcare
private health sector|quality care|it is perceived to provide quality care
private health sector|gdp|it consumes 5.1% of the GDP
private health sector|financed|which is financed by Out-Of-Pocket (OOP) expenditure
private health sector|health facilities|this sector spans a wide range, from world-class health facilities, such as Narayana Health, to individual informal provider clinics
narayana health|healthcare service provider|Narayana Health is an internationally accredited, high quality, tertiary healthcare service provider
informal provider clinics|medical care|individual informal provider clinics are establishments providing medical care
informal provider clinics|solo provider|often manned by a solo provider
informal provider clinics|formal medical qualification|who does not have a formal medical qualification or registration
urban|world-class health facilities|world-class health facilities exist in urban areas
formal medical qualification|registration|A person who does not have a formal medical qualification or registration.
health facilities|urban areas|World-class health facilities exist in urban areas.
medical tourism|india|India has become a leading destination for medical tourism.
informal providers|urban slums|Informal providers are concentrated in urban slums.
informal providers|rural areas|Informal providers are concentrated in rural areas.
informal providers|first choice of care|Informal providers are the first choice of care for their communities.
informal providers|trusted constant presence|Informal providers have built a long-standing trusted constant presence in their communities.
informal providers|social norms|Informal providers have adapted to their social norms.
informal providers|economic norms|Informal providers have adapted to their economic norms.
informal providers|cultural norms|Informal providers have adapted to their cultural norms.
nhm|health challenges|NHM has sought to address health challenges.
nhm|communitization|NHM has implemented communitization as an approach to address health challenges.
nhm|flexible financing|NHM has implemented flexible financing as an approach to address health challenges.
nhm|improved management|NHM has implemented improved management through capacity building as an approach to address health challenges.
nhm|monitoring progress|NHM has implemented monitoring progress against standards as an approach to address health challenges.
nhm|innovations in human resource management|NHM has implemented innovations in human resource management as an approach to address health challenges.
new cadres|primary healthcare|New cadres have been created to provide primary healthcare.
new cadres|universal health coverage|New cadres have been created to accelerate the pace toward universal health coverage.
female community health workers|accredited social health activists (asha)|Female community health workers are known as Accredited Social Health Activists (ASHA).
female community health workers|population|There is one female community health worker for every 1,000 population.
female community health workers|auxiliary nurse midwives (anm)|Female community health workers serve to increase the reach of Auxiliary Nurse Midwives (ANM).
female community health workers|population served|Female community health workers serve up to 20,000 people.
anms|high school graduates|ANMs are high school graduates.
anms|training|ANMs receive 18 months of training.
ashas|school education|ASHAs attend school up to the eighth grade, sometimes even less.
ashas|initial training|ASHAs receive 23 days' initial training.
ashas|on-the-job training|ASHAs receive additional on-the-job need-based short training.
anms|government employees|ANMs are government employees and receive a salary.
ashas|private contractors|ASHAs are treated as private contractors.
ashas|payment|ASHAs receive a payment proportionate to the amount of work performed.
synthesis|recent synthesis|A recent synthesis of the topic.
anms|government employees|ANMs are government employees
anms|salary|ANMs receive a salary
ashas|private contractors|ASHAs are treated as private contractors
ashas|payment|ASHAs receive a payment proportionate to the amount of work performed
evaluation|ashas|evaluation of ASHAs from a health systems perspective
cadres|government|new cadres are being hired by the government on a contractual basis
rural medical assistants (rmas)|three-year diploma course|RMA is a three-year diploma course
rural medical assistants (rmas)|primary health centers|RMAs work at Primary Health Centers
evaluation|rural medical assistants (rmas)|initial evaluation of RMAs is positive
paramedical personnel|paramedical councils|paramedical councils now exist
paramedical personnel|supportive care|personnel are trained for the provision of supportive care in health facilities and homes
ashas|contractors|ASHAs remain contractors
doctors|contractual basis|doctors are being hired on a contractual basis
nurses|contractual basis|nurses are being hired on a contractual basis
nhm|contractual personnel|275,000 contractual personnel have been inducted into the workforce since the inception of the NHM in 2005
doctors|monetary incentives|doctors are incentivized to accept contractual posts in rural areas by linking these postings with monetary incentives
doctors|residencies|doctors are incentivized to accept contractual posts in rural areas by preferential admission into residencies
ayush|bridge courses|AYUSH doctors are trained in bridge courses in allopathic medicine
public sector|working conditions|working conditions in the public sector remain demotivating
contractual employees|remuneration|contractual employees have lower remuneration as compared to their regular counterparts
contractual employees|salary payments|salary payments are delayed for contractual employees
contractual employees|temporary nature of contracts|the temporary nature of contracts remains a cause of concern for contractual employees
infrastructure|supply chain issues|poor infrastructure and supply chain issues
payments|delayed|payments are delayed
contracts|temporary nature|the temporary nature of contracts
infrastructure|supply chain issues|poor infrastructure and supply chain issues
employees|demotivate|demotivate all employees
incidents|violence by communities against doctors|increasing incidents of violence by communities against doctors
communities|doctors|violence by communities against doctors
covid-19 pandemic|doctors|violence against doctors during the COVID-19 pandemic
system failings|demotivate doctors|Such system failings demotivate doctors
doctors|seek other opportunities|encourage doctors to seek other opportunities
doctors|private health sector|majority of doctors work in the private health sector
indian-born physicians|high-income countries|more than 60,000 Indian-born physicians now practicing in high-income countries
physicians|india|10% of the physicians trained in India have left the country
reform|ayushman bharat|Another reform brought in in 2018 is “Ayushman Bharat”
health insurance scheme|poor|Ayushman Bharat is a publicly financed health insurance scheme for the poor
primary care|health and wellness centers|allow them to access primary care from health and wellness centers
secondary and tertiary care services|participating private health facilities|avail secondary and tertiary care services from participating private health facilities
scheme|potential|The scheme has the potential
performance evaluation|scheme|recent performance evaluation shows the scheme has not succeeded
schemes|various states|Similar schemes have been launched independently by various states
publicly funded purchasing|private providers|concerns about the viability of publicly funded purchasing of services from private providers
private health sector|unmet demand|for-profit private health sector has perceived opportunities in this unmet demand for healthcare services
patients|provider of care|patients see the for-profit private health sector as providing services that are more available and of a higher quality
medicalization|corporatization|trend towards medicalization and corporatization remains largely unregulated
medicalization|corporatization|This trend towards medicalization and corporatization remains largely unregulated
primary care|secondary and tertiary care|primary care frequently eclipsed by the more expensive secondary and tertiary care
private sector|solo practitioners|the private sector was largely made up of solo practitioners or small nursing homes
private sector|corporate houses|the sector has become dominated by corporate houses in urban areas and is rapidly expanding to tier II and III cities
oop expenditure|total health expenditure|There has been a marked spike in increased OOP expenditure, which accounted for 62% of total health expenditure (US$60.6 billion out of US$ 97.1 billion) in 2014
private sector|medical tourism|This sector attracts patients from around the world, with nearly 234,000 coming into the country in 2015, bringing an influx of $3 billion, making India the third most popular destination worldwide for medical tourism
private sector|medical colleges|The private sector has invested heavily in setting up medical colleges which have proven to be profitable
medical colleges|government colleges|Their fees are high, as much as 100 times those of government colleges
private sector|doctors|doctors graduating from these colleges are not attracted to the paltry remuneration offered by contractual government posts. They gravitate towards higher remuneration in the private sector, which is consequently the largest employer of doctors in India
